1,20,86,298
2,75,18,204
3,45,47,231
4,66,92,408
5,46,87,353
6,47,65,289
7,60,6,138
8,94,43,317
9,84,34,270
10,31,24,134
11,56,20,172
12,4,13,47
13,80,29,247
14,85,49,317
15,17,58,208
16,58,88,380
17,23,8,70
18,37,83,323
19,51,90,372
20,1,89,269
21,77,99,451
22,81,38,276
23,60,68,324
24,64,16,176
25,36,49,219
26,13,53,185
27,28,55,221
28,57,25,189
29,6,16,60
30,8,60,196
31,16,25,107
32,55,49,257
33,40,85,335
34,94,11,221
35,99,95,483
36,87,34,276
37,38,66,274
38,73,21,209
39,93,38,300
40,5,20,70
41,31,76,290
42,21,30,132
43,98,61,379
44,84,80,408
45,11,16,70
46,95,13,229
47,74,76,376
48,77,36,262
49,64,41,251
50,6,71,225
51,95,79,427
52,18,79,273
53,80,22,226
54,67,81,377
55,43,52,242
56,0,25,75
57,90,73,399
58,28,77,287
59,71,38,256
60,10,65,215
61,76,33,251
62,84,32,264
63,1,90,272
64,67,1,137
65,77,43,283
66,65,56,298
67,87,0,174
68,26,88,316
69,1,48,146
70,61,58,296
71,97,40,314
72,49,59,275
73,76,75,377
74,32,19,121
75,29,87,319
76,78,61,339
77,34,69,275
78,58,9,143
79,78,5,171
80,17,50,184
81,42,87,345
82,6,59,189
83,49,53,257
84,37,16,122
85,53,29,193
86,4,87,269
87,35,40,190
88,93,75,411
89,54,33,207
90,71,74,364
91,59,44,250
92,73,58,320
93,70,27,221
94,8,87,277
95,69,19,195
96,97,87,455
97,79,18,212
98,44,72,304
99,83,88,430
100,88,80,416
101,85,61,353
102,6,25,87
103,28,51,209
104,79,48,302
105,29,89,325
106,11,85,277
107,33,60,246
108,82,79,401
109,97,58,368
110,17,34,136
111,54,34,210
112,81,50,312
113,51,22,168
114,47,49,241
115,34,26,146
116,60,24,192
117,42,86,342
118,24,35,153
119,81,35,267
120,35,50,220
121,44,25,163
122,72,75,369
123,71,49,289
124,54,81,351
125,87,56,342
126,58,28,200
127,6,65,207
128,76,82,398
129,32,9,91
130,8,3,25
131,40,41,203
132,19,86,296
133,36,66,270
134,79,68,362
135,55,11,143
136,79,2,164
137,31,16,110
138,40,4,92
139,12,56,192
140,92,2,190
141,18,76,264
142,5,6,28
143,43,27,167
